subject,trial,condition,accuracy,cluster,label
20,12,9,0.2857142857142857,1,과부하
20,13,9,0.8333333333333334,0,정상
20,14,13,0.0769230769230769,1,과부하
20,15,13,0.3846153846153846,1,과부하
20,22,13,0.4615384615384615,1,과부하
20,23,13,0.3076923076923077,1,과부하
20,24,9,0.7777777777777778,0,정상
20,25,5,1.0,0,정상
20,26,5,0.6,1,과부하
20,27,5,1.0,0,정상
20,28,5,1.0,0,정상
20,29,9,0.5555555555555556,1,과부하
20,30,9,0.3333333333333333,1,과부하
20,31,13,0.0769230769230769,1,과부하
20,32,9,0.5555555555555556,1,과부하
20,33,13,0.5384615384615384,1,과부하
20,40,13,0.0769230769230769,1,과부하
20,41,5,0.8,0,정상
20,42,9,1.0,0,정상
20,43,13,0.3076923076923077,1,과부하
20,44,5,1.0,0,정상
20,45,5,1.0,0,정상
20,46,5,1.0,0,정상
20,47,13,0.2727272727272727,1,과부하
20,48,9,0.5555555555555556,1,과부하
20,49,13,0.1538461538461538,1,과부하
20,50,9,0.5555555555555556,1,과부하
20,51,9,0.4444444444444444,1,과부하
20,58,9,0.6666666666666666,0,정상
20,59,5,0.2,1,과부하
20,60,13,0.3076923076923077,1,과부하
20,61,5,1.0,0,정상
20,62,9,0.5555555555555556,1,과부하
20,63,13,0.3846153846153846,1,과부하
20,64,13,0.4615384615384615,1,과부하
20,65,13,0.2307692307692307,1,과부하
20,66,5,0.8,0,정상
20,67,5,1.0,0,정상
20,68,9,0.3333333333333333,1,과부하
20,69,9,0.4444444444444444,1,과부하
20,76,13,0.3846153846153846,1,과부하
20,77,5,1.0,0,정상
20,78,9,0.4444444444444444,1,과부하
20,79,5,1.0,0,정상
20,80,13,0.2307692307692307,1,과부하
20,81,13,0.2307692307692307,1,과부하
20,82,5,1.0,0,정상
20,83,13,0.3076923076923077,1,과부하
20,84,9,0.5555555555555556,1,과부하
20,85,9,0.5555555555555556,1,과부하
20,86,5,0.2,1,과부하
20,87,9,0.4444444444444444,1,과부하
20,94,13,0.2307692307692307,1,과부하
20,95,9,0.5555555555555556,1,과부하
20,96,5,1.0,0,정상
20,97,13,0.2307692307692307,1,과부하
20,98,5,0.4,1,과부하
20,99,13,0.3076923076923077,1,과부하
20,100,9,0.1111111111111111,1,과부하
20,101,5,1.0,0,정상
20,102,5,0.6,1,과부하
20,103,9,0.0,1,과부하
20,104,13,0.1538461538461538,1,과부하
20,105,9,0.3333333333333333,1,과부하
20,112,13,0.5384615384615384,1,과부하
20,113,9,0.0,1,과부하
20,114,9,0.5555555555555556,1,과부하
20,115,5,0.8,0,정상
20,116,5,1.0,0,정상
20,117,13,0.0769230769230769,1,과부하
20,118,9,0.4444444444444444,1,과부하
20,119,13,0.3076923076923077,1,과부하
20,120,9,0.5555555555555556,1,과부하
20,121,13,0.1538461538461538,1,과부하
20,122,5,1.0,0,정상
20,123,5,1.0,0,정상
20,130,5,1.0,0,정상
20,131,13,0.2307692307692307,1,과부하
20,132,13,0.2307692307692307,1,과부하
20,133,13,0.0,1,과부하
20,134,13,0.4615384615384615,1,과부하
20,135,9,0.0,1,과부하
20,136,5,1.0,0,정상
20,137,9,0.0,1,과부하
20,138,9,0.4444444444444444,1,과부하
20,139,5,1.0,0,정상
20,140,5,0.0,1,과부하
20,141,9,0.0,1,과부하
20,148,5,1.0,0,정상
